;0;1;2;3
prom_ismt;0.8013990646123452;0.8021328837478483;0.7927045899223195;0.8086455164356208
NSE;0.30753425761229164;-0.032851597502229726;-3.7352619979042063;-0.03513305892425654
TOTAL_VIV;-0.2071377662073913;-0.04894894791121794;-0.16600013637077168;4.871563956561512
pct_aMayor;0.8024258433694111;-0.4726641291463267;-0.572870751621529;-0.20534125604128642
pct_inm;0.1380860071126686;-0.1092999040257251;0.11540039009019426;0.4569318130749573
pct_orig;-0.2622122940122935;0.17490834373082131;-0.35580515129291534;0.1379002156680116
pct_nna;-0.6461657946016094;0.388117242476885;-0.3440112976475274;0.8672843511985907
pct_adult;-0.33630339935160264;0.3149921122066059;-2.448749734328454;0.028584201657261932
pct_mujeres;0.14813386677782975;-0.056573182363839535;-0.950028768414452;0.10138671117814495
pct_hombres;-0.12025348464107002;0.0867997702786745;-0.19537632515301823;-0.07297054658036864
